,Code,Date,Title,Contents
25,123860,2023-08-25,qkqh**** 무슨 짓을 한거니? [2],"['qkqh****\r', ' ', '글 지우고 도망가더라도,\r', '니가 한 말과 행동은 사라지지 않는다.\r', ' ', '자기가 한 말과 행동은,\r', '반드시 책임을 져야할 거다.\r', ' ', '아침에 올린 그 글은,\r', '내가 지적하자마자 왜 삭제했니?\r', ' ', 'gct 스팩상장 오늘 내일 확실한 거니?\r', '회사에서 올해안에 상장 완료 약속한거 맞니?\r', ' ', '모두가 사실이라면,\r', '나한테 지적당하자마자 왜 그 글 삭제했니?\r', ' ', '그러면서 왜 갑자기,\r', '앞으로는 글 안쓰겠다고 하니?\r', ' ', 'qkqh****\r', '정말 그동안 게시판에서 무슨 짓을 한거니?\r', ' ', '참 재밌네.\r', '그럼, 계속 수고들~\r', ' ', '=======================\r', ' ', '왜 엠벤처투자는 이 시점에서 대표가 해임되었을까?\r', 'qkqh****2023.08.25. 11:27조회수 17\r', '신고\r', '내가 이사가 아니라 잘은 모르지만...\r', '추축해보면 엠벤처투자는 회사도 작고 대표지분이 적어 사실 그전에도 투자회사들이 맘만 먹으면 언제든 해임가능했을 것이다. 그런데 왜 이제껏 그냥 두었을까? 회사관리나 수익이 많이나서? 엠벤처투자 가 좀 엉망이었던건 누구나 알수있지....사실 그런회사 대표되도 대책이 없었을듯...\r', ' ', '왜 그런데 이시점에서... 주총도 아니고 기습적으로...회장 해임시켰을까?\r', 'Gct는 오늘 내일 스펙 상장 이야기가 나오고 있고...회사에 문의해보니 올해안해는 꼭 상장까지 완료할 계획이라 한다..\r', ' ', '그럼 최소한 8, 9월 까지는 대상자 선정까지 마무리 해야 할것이고...그래도 시간이 빠듯할듯....\r', ' ', '엠벤처투자는 gct2대 주주로 추후 언제든 엑시트 가능할 것이고 막대한 자금이 회수 가능할것이다... 그돈을 다른 투자회사들이 눈독을 들이는게 아닐까?\r', ' ', '지금시점에 경영권을 뺏은 이유가 아닐까 짐작해 본다.\r']"
26,123860,2023-08-25,어떤 할망구는 [2],"['23,800원에 4,000주 손절 했다면서 이실직고 하더니 \r', '지금 주가가 그 위에 있으니 배 아파 디지겄는갑네 ㅋㅋ ㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ \r', '스마~~~일']"
27,123860,2023-08-25,[삭제된 게시물의 답글]왜...룩스님이 ...,"['왜...룩스님이 더이상 글을 적지않는지 알겠다.\t조회 168공감 4비공감 2신고\r', 'qkqh**** 118.235.***.219 |작성자글 더보기\t2023.08.25 12:30\r', ' ', '나도 더이상 게시판글 안적을란다...오르테하고 노답 하고...거머리들이네']"
28,123860,2023-08-25,qkqh**** 책임을 져야 할거다 [9],"['gct 오늘 내일 스팩상장 이야기가 나오고 있다고?\r', '회사에서 올해안에 꼭 상장 완료한다 했다고?\r', ' ', 'qkqh****\r', '니가 올린 글에 책임을 져야 할거다.\r', ' ', '어차피 글 지울 거 뻔하니,\r', '니글은 여기 남겨둔다.\r', ' ', '아나패스 찬티들이 잘하는 거,\r', '다들 잘 알것이다.\r', ' ', '근거도 없이 거품물다,\r', '글 지우고 도망가기잖아.\r', ' ', '글 지우고 도망간다고,\r', '자기가 한 말과 행동은 사라지지 않는다.\r', ' ', '그럼, 계속 수고들~\r', ' ', '=======================\r', ' ', '왜 엠벤처투자는 이 시점에서 대표가 해임되었을까?\r', 'qkqh****2023.08.25. 11:27조회수 17\r', '신고\r', '내가 이사가 아니라 잘은 모르지만...\r', '추축해보면 엠벤처투자는 회사도 작고 대표지분이 적어 사실 그전에도 투자회사들이 맘만 먹으면 언제든 해임가능했을 것이다. 그런데 왜 이제껏 그냥 두었을까? 회사관리나 수익이 많이나서? 엠벤처투자 가 좀 엉망이었던건 누구나 알수있지....사실 그런회사 대표되도 대책이 없었을듯...\r', ' ', '왜 그런데 이시점에서... 주총도 아니고 기습적으로...회장 해임시켰을까?\r', 'Gct는 오늘 내일 스펙 상장 이야기가 나오고 있고...회사에 문의해보니 올해안해는 꼭 상장까지 완료할 계획이라 한다..\r', ' ', '그럼 최소한 8, 9월 까지는 대상자 선정까지 마무리 해야 할것이고...그래도 시간이 빠듯할듯....\r', ' ', '엠벤처투자는 gct2대 주주로 추후 언제든 엑시트 가능할 것이고 막대한 자금이 회수 가능할것이다... 그돈을 다른 투자회사들이 눈독을 들이는게 아닐까?\r', ' ', '지금시점에 경영권을 뺏은 이유가 아닐까 짐작해 본다.']"
29,123860,2023-08-25,[삭제된 게시물의 답글]난 다른사람 이...,"['난 다른사람 이득보던 손실보던 책임질맘 없으니...\r', 'qkqh****2023.08.25. 12:05조회수 41\r', '신고\r', '내글보고 투자하지 마라...\r', '됐냐? 내 진짜 별 ooo 같은것들 다보네...\r', '진짜 찰거머리네...\r', '그래서 당신이 원하는게 빨리 다 팔고 나가라는거여 뭐여...\r', '그러다가 주식 오르면 다들 너한테 손해배상 청구해야하냐? 별 돌x이 다 보겠네.\r', ' ']"
30,123860,2023-08-25,[삭제된 게시물의 답글]왜 엠벤처투자는... [1],"['왜 엠벤처투자는 이 시점에서 대표가 해임되었을까?\r', 'qkqh****2023.08.25. 11:27조회수 73\r', '신고\r', '내가 이사가 아니라 잘은 모르지만...\r', '추축해보면 엠벤처투자는 회사도 작고 대표지분이 적어 사실 그전에도 투자회사들이 맘만 먹으면 언제든 해임가능했을 것이다. 그런데 왜 이제껏 그냥 두었을까? 회사관리나 수익이 많이나서? 엠벤처투자 가 좀 엉망이었던건 누구나 알수있지....사실 그런회사 대표되도 대책이 없었을듯...\r', ' ', '왜 그런데 이시점에서... 주총도 아니고 기습적으로...회장 해임시켰을까?\r', 'Gct는 오늘 내일 스펙 상장 이야기가 나오고 있고...회사에 문의해보니 올해안해는 꼭 상장까지 완료할 계획이라 한다..']"
31,123860,2023-08-25,프로그램 매매동향 (8월 24일),"['8월 24일 총거래량 33,748주 중 외국인 프로그램 매매동향은\r', ' ', '2,083주를 24,484원에 매도하고 7,720주를 24,482원에 매수하였습니다.\r', ' ', '올 들어 외국인 프로그램 매매동향을 보면 1,874,834주를 평균단가 18,278원에 매도하고,\r', ' ', '1,903,558주를 평균단가 18,106원에 매수해서 순매수 수량이 28,724주네요.\r', ' ', '참고로 2022년에는 980,184주를 평균단가 24,582원에 매도하고\r', ' ', '865,511주를 평균단가 24,522원에 매수했고\r', ' ', '2021년 1월 29일부터 2022년 12월 29일까지 프로그램 순매도 수량은 251,901주네요.\r', ' ', '프로그램 매도가 CFD매매를 통한 공매도 인지는 모르겠지만\r', '앞으로 추가 프로그램 매도 가능한 최대수량은 현재 외국인 잔고인 202,329주로 보이고,\r', '대차잔고는 75,450주네요']"
32,123860,2023-08-24,옆동네 대표이사 해임 [4],"['옆동네 대표이사가 해임 됐는데,\r', '아나패스 찬티들이 참 조용하다.\r', ' ', '150억 유증이 어떻고 주가가 어떻고,\r', '옆동네에서 무슨 일만 일어나면,\r', '아나패스랑 엮어서 거품물던 찬티들이 이번엔 참 조용하다.\r', ' ', '옆동네가 오랜기간 gct에 목숨 걸었던 건 다들 아는 내용일테고,\r', '그것 때문에 2018년 감사의견거절까지 먹었었지.\r', ' ', '그러던 옆동네 대표이사를,\r', '지금 이시점에 이사회에서 해임을 의결했다지.\r', ' ', '찬티들 뭐라고 한마디 해야되지 않겠냐?\r', '이제는 전혀 관계없는 옆동네 인거니?\r', ' ', '지금 이시점에,\r', '옆동네 이사회가 대표이사를 해임했다는 건,\r', ' ', '다들 예상하겠지만,\r', '뻔한 스토리 아니겠냐.\r', ' ', '옆동네에서 얻을수 있는 정보는,\r', '이럴 때 얻는 거다.\r', ' ', '그나저나 참 재밌네.\r', '그렇게 옆동네 거리면서 거품물더니,\r', '이번엔 입 꾹 다물고 있는 찬티들이라니,\r', ' ', '나는 이렇게 재미있는 게시판은 본 적이 없다.\r', '그럼, 계속 수고들~\r', ' ', '======================\r', ' ', ""엠벤처, 'GCT 익스포저' 얼마나 컸나\r"", '자기자본계정에만 250억…전체 자산 절반 이상\r', '권일운 기자 | 공개 2018-03-26 07:25:11\r', '이 기사는 2018년 03월 23일 14:22 더벨 유료페이지 에 표출된 기사입니다.\r', ' ', '엠벤처투자의 감사의견 거절은 핵심 투자자산인 GCT세미컨덕터에 대한 가치평가에 대한 이견이 빌미가 됐다. 엠벤처투자는 별도의 회계법인을 선임해 GCT세미컨덕터 지분의 가치를 책정했지만, 회계 감사를 맡은 한영회계법인은 이를 받아들이기 어렵다는 입장을 고수했다.']"
33,123860,2023-08-24,찬티와 징징이들 [6],"['아나패스 찬티와 징징이들,\r', ' ', '아나패스 주가가 안오르면,\r', '모두가 프로그램 세력 탓이라 하지.\r', ' ', '옆동네 유증 150억 들어오던 말던,\r', '옆동네 주가가 날아가던 말던,\r', ' ', '엠벤처가 오르면 어떻게든 아나패스와 엮어볼려고 하지.\r', 'oled 뉴스와 엮어서 끼워팔이 약장사는 이제 포기했니?\r', ' ', '참 재밌네.\r', '이렇게 발전없는 찬티와 징징이들 본 적 있냐?\r', ' ', '오늘도 정말 한참을 웃었다.\r', '점심 먹고 거울을 보니 얼굴이 함박웃음 되어 있더라.\r', ' ', '나는 이렇게 재미있는 게시판은 본 적이 없다.\r', '그럼, 계속 수고들~']"
34,123860,2023-08-24,징징이와 안티녀석들 [1],"['세상 모든걸 비관하며, 본인의 투자 책임 역시 남탓 하기 바쁜자들 \r', ' ', '그러니 인생이 안풀리는 것임 \r', ' ', '이글보고 또 득달같이 달려들며 비난하겠지 ㅎㅎ\r', ' ', '그렇게 살지 말길 ! 다 본인한테 돌아옴\r', ' ', '제발 태어났으면 세상에 나쁜짓 보다 좋은일 좋은생각을 더 하시길 \r', ' ']"
