,Theme,Name
39,보톡스(보툴리눔톡신),"['디에스케이', '한국비엔씨', '유바이오로직스', '대웅제약', '제테마', '알에프텍', '휴온스', '메디톡스', '휴젤', '휴온스글로벌', '청담글로벌', '파마리서치']"
40,피팅(관이음쇠)/밸브,"['성광벤드', '태광', '하이록코리아', '디케이락', '한국선재', '조광ILI', '비엠티', '화성밸브', '케이에스피']"
41,테마명,[]
42,공작기계,"['스맥', 'SIMPAC', '삼익THK', '넥스턴바이오', '서암기계공업', '한국정밀기계', '유니온머티리얼', '현대위아', '화천기계', 'SNT다이내믹스', '대성하이텍', '와이지-원', '화천기공', '이엠코리아', '에이비프로바이오', '한국주강']"
43,북한 광물자원개발,"['우림피티에스', '포스코엠텍', '피제이메탈', '상보', '포스코퓨처엠', '현대에버다임', '경동인베스트', '한국내화', '수산중공업', '아진산업', '대창솔루션', '삼영엠텍', '동국알앤에스', '현대코퍼레이션', '쎄노텍', '티플랙스', 'SH에너지화학', '영흥', '엘컴텍', '한국주강']"
44,게임,"['넵튠', '플레이위드', '한빛소프트', '모비릭스', '손오공', '스코넥', '티쓰리', '네오위즈', '이스트소프트', '바른손이앤에이', '베노티앤알', '케이바이오', '웹젠', '넷마블', '카카오게임즈', '크래프톤', '룽투코리아', '펄어비스', '다날', '위메이드플레이', '넥슨게임즈', '컴투스', '액토즈소프트', 'KH 전자', '대원미디어', '액션스퀘어', '위메이드맥스', '위메이드', '엔씨소프트', '조이시티', '밸로프', '네오리진', '아이톡시', '미투온', '컴투스홀딩스', '드래곤플라이', 'NHN', '엠게임', '더블유게임즈', 'NAVER', '네오위즈홀딩스']"
45,셰일가스(Shale Gas),"['우림피티에스', '포스코인터내셔널', 'E1', '한국카본', '동성화인텍', '한국가스공사', '한국전력', 'SK가스', 'GS글로벌', 'SH에너지화학', 'SNT에너지', '두산에너빌리티', '비에이치아이']"
46,LNG(액화천연가스),"['POSCO홀딩스', 'GS', '팬오션', 'HD현대인프라코어', '케일럼', '삼성중공업', '대한해운', 'HD한국조선해양', 'SK오션플랜트', '한국카본', '동성화인텍', 'SK', '현대미포조선', 'HSD엔진', '한국가스공사', '한국전력', '대창솔루션', 'HJ중공업', '엔케이', '삼천리', '지역난방공사', '비에이치아이']"
47,건설 중소형,"['동신건설', '삼부토건', '상지카일룸', '화성산업', '신세계건설', '아이에스동서', '코오롱글로벌', 'DL건설', '범양건영', '일성건설', '디와이디', '계룡건설', '우원개발', '까뮤이앤씨', '태영건설', '동부건설', '서희건설', '서한', '한신공영', '이화공영', '남광토건', '삼호개발', '대원', 'HL D&I', 'SGC이테크건설', '동원개발', 'KCC건설', '진흥기업', '금호건설', 'KD', '남화토건', '신원종합개발', '삼일기업공사']"
48,모바일솔루션(스마트폰),"['엠로', '이미지스', '다산네트웍스', '카페24', '브레인즈컴퍼니', 'MDS테크', '유엔젤', '셀바스AI', '인지소프트', '인포뱅크', '핑거', '키네마스터', '젬백스링크', '네이블', '다날', '텔코웨어', '투비소프트', '갤럭시아머니트리', '폴라리스오피스', '이루온', '위세아이텍', '지어소프트', '유비벨록스']"
49,온실가스(탄소배출권),"['켐트로스', '유니드', '에코바이오', '후성', 'TKG휴켐스', '그린케미칼', '글로벌에스엠', 'KC코트렐', '세종공업', '한솔홈데코', '에코프로에이치엔', '클라우드에어', 'SGC에너지', '이건산업', '에코프로']"
50,리튬,"['미래나노텍', 'POSCO홀딩스', '포스코엠텍', '이브이첨단소재', '유일에너테크', 'LG화학', '후성', '세방전지', '지오릿에너지', '포스코퓨처엠', '천보', '성일하이텍', '금양', '대보마그네틱', '새빗켐', '강원에너지', '셀피글로벌', '리튬포어스', '이엔플러스', '광무', '코스모화학', '하이드로리튬', '웰바이오텍', '에코프로', '미래산업']"
